OTU	F059	F067	F075	F076	F080	F095	F096	F100	F104	F105	F106	F107	F109	F111	F135	F141	F143	F145	F60	F69	F78	F79	F87
421b608bd9127f78b2aaf5c2b958dda4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f1082c2a262af650786cc4aa32740a1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
4b4e842744e2ee3505defcd8dc6e6061	72	77	86	0	64	39	36	0	0	0	92	83	82	0	60	124	0	0	68	0	50	0	56
a4e3ff368afe7c56c1d975c7fe09071e	32	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
4cab0df7abb88b31989680d38a6e8df1	7340	5305	5045	3987	10159	2654	2806	4094	4639	7246	7047	2713	1770	2088	2892	2904	511	448	11745	9661	2292	0	8148
ad7a812323880fdbfb5bb08777efac8e	50	108	44	0	41	43	110	0	68	0	58	26	65	70	0	42	0	0	38	81	97	0	102
0b88d6ab6558fa083b79a2c5d6d208e0	0	0	122	0	382	82	0	0	105	199	192	0	0	60	0	55	0	0	304	216	67	0	281
ab01612534c4cc67db089eb02939250e	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0
f5a97b8e78aed4fdf0e2b99222c12f53	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
45fa0f740a8d97da8eeafaa7397085ec	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
39b5a48e9daec385935116a86f19982e	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
165d53a3627c5b13dc0e4d43a9585b35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	120	0	0	0	0	0	0	0
95ce069bc66e963da77c302f5e758ac5	0	0	0	0	49	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a03e773ae24580976e9d864c7af8dc24	52	34	21	0	64	0	0	0	53	71	52	0	0	0	48	0	0	0	76	56	0	0	58
5d180e219d96c56e7bafa2242b846ea0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ef04494de44f4f7489ba0338581a9e4c	128	121	118	101	147	56	0	57	80	200	250	162	74	114	201	187	0	47	268	190	31	0	62
b66115f6577d0ed411c729023e51c0ae	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
998029e58241e6de5f1cdec2dd0b12f3	91	88	31	43	51	34	61	54	36	0	74	33	53	49	0	28	0	0	83	26	67	0	48
93f178a72eea5198a7d679b5c07cfd6a	489	533	244	0	328	219	441	225	0	0	248	0	211	0	0	206	0	0	494	447	537	0	319
4325162846fc87e501ed84e5334a25a2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0
e9f376c867c2a1506d5b0996f9839a20	47170	47220	22656	20185	25982	19643	32409	18580	18247	12007	27186	15898	25180	17287	15269	20810	3206	3649	44613	32986	42026	18	28564
b138ae474c913cf3b972839a6edf5bcb	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70f77f07bd67b24609e6009689dab02d	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
662bc457ddbf40fcc681dc24570b021f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
88b2d768a42ad85c9f95a303071414a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
9bd851f67c83e3d109743f07a3db3320	83	68	46	27	73	57	60	141	38	88	92	0	0	30	83	86	19	18	101	103	0	0	104
065be23af7a536e2cd250c58bebe2396	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0faee93453ec8e3ef4745dd73ca8fed4	31	0	0	0	22	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
528ad70a874d62167442f605c9eccb1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
