OTU	taxonomy	F001	F009	F010	F012	F015	F016	F023	F025	F028	F029	F033	F037	F040	F041	F042	F043	F044	F046	F047	F048	F051	F052	F053	F060	F062	F067	F069	F071	F072	F075	F076	F078	F080	F084	F085	F087	F094	F095	F096	F097	F098	F099	F100	F101	F102	F103	F104	F105	F106	F107	F108	F109	F110	F111	F112	F113	F122	F124	F127	F134	F135	F141	F143	F145	unknown
5cadb906e927ec37f15cd2b07b7d9da3	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.005446028	0	0	0.006934073	0.005980881	0.004507172	0.006408551	0	0.005213071	0.005755647	0.006546524	0	0	0.007186391	0.006570803	0	0	0.005885633	0.006644758	0	0.004603714	0.004101388	0.004711367	0	0.006528573	0.004287389	0	0	0.004300597	0.005500372	0.007461894	0.00628727	0.006484649	0	0.004329004	0	0.007510665	0.006818413	0.007286535	0	0	0	0.006840881	0	0	0.008122877	0	0	0.00546295	0.005117212	0.008288989	0	0	0	0	0	0	0.006419633	0.004760394	0	0	0.008182294	0.008067067	0
4b4e842744e2ee3505defcd8dc6e6061	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa	0	0.001132149	0	0	0	0.001467008	0.002006843	0.001910474	0	0.002798964	0.0021511	0	0	0	0	0	0	0	0	0.003069589	0	0	0.00308241	0	0	0.001719459	0	0	0	0	0	0.001726061	0.002884366	0.002077606	0	0	0	0	0	0	0	0	0	0.002024901	0	0	0	0	0	0	0	0.006344658	0	0	0	0	0	0	0	0.002919708	0	0	0.004757148	0.005272593	0
12410564eef73c3c877af2b6ea638ba2	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa	0	0.002869412	0	0	0	0.001209073	0	0	0	0.002868938	0.002935961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002686655	0	0	0	0	0	0	0	0.003273803	0	0.00450938	0	0.005948447	0.003188711	0	0	0	0	0.001587084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004443034	0	0	0.004043575	0.004376252	0
333b8b54e88aa3353756fea6269cab32	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.004253635	0.001581105	0	0	0.001777967	0.002273057	0.00174365	0.001571909	0	0.001679379	0.001802273	0	0	0.005224982	0.00195579	0.001904581	0.005463832	0	0.002230345	0.001697302	0	0	0.001502993	0.00193414	0	0.001665726	0.001674761	0	0	0	0.000970654	0	0.001750065	0.001448028	0	0.000974026	0	0.002163072	0.000881984	0.00297619	0	0	0	0.001833356	0	0	0	0	0	0.001085586	0.002074545	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5a399b31feaff55f7c72828b7e56c04a	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa	0	0.000741753	0	0	0	0	0.001283064	0.00135426	0	0.001014625	0	0	0	0.00172117	0	0.001618893	0	0	0.005266093	0	0	0	0	0	0	0	0	0	0	0.002928855	0.002232504	0.001407403	0	0	0	0	0	0	0.001492588	0	0	0	0	0	0	0	0	0	0	0.00224121	0	0	0	0	0	0	0	0	0.002437835	0	0	0	0.001665002	0	0
1401cfd6a11ecc38fc403120fd9baf85	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0.0022752	0.002713254	0	0	0.004302681	0.001434766	0.001941045	0.002152306	0	0.002239172	0.002499927	0.005148952	0	0	0.00104612	0.002618798	0.004751158	0.002980626	0.004956322	0.002997364	0	0.002458802	0.002471023	0.00208292	0	0.00233739	0.001775247	0	0	0.002039076	0.002717831	0.002788252	0.004245528	0.003210846	0	0.001659452	0	0.004686655	0.003561858	0	0	0	0	0.002052264	0	0	0.001821494	0	0	0.001365737	0.000968121	0.001739664	0	0	0	0	0	0	0.002600358	0	0	0	0.002521288	0.00337446	0
5d1eca5eed8bc208c96c46d29f236b48	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0.002670887	0.00105407	0	0	0.001173459	0.000467508	0.00141466	0	0	0.001854314	0.000901137	0.002133137	0	0.001106467	0.002501592	0.001523664	0	0.004741905	0	0.002708461	0	0.002301857	0.00068781	0.001884547	0	0.00147766	0	0	0	0	0.001617756	0.002044718	0.001555613	0.001930704	0	0.002272727	0	0.001081536	0.002442417	0	0	0	0	0.00147763	0	0	0	0	0	0.002451324	0	0	0	0	0	0	0	0	0.001869007	0	0	0	0.003044574	0.001634504	0
165d53a3627c5b13dc0e4d43a9585b35	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313; Ambiguous_taxa	0	0.001444466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001573944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00431609	0	0	0.00451929	0.003690815	0
ad7a812323880fdbfb5bb08777efac8e	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae; D_5__Prochlorococcus MIT9313	0	0.001561585	0	0	0	0.001563734	0	0.001668642	0	0	0.001511584	0	0	0	0.001637406	0	0	0	0	0	0	0	0	0	0	0.001423927	0.002646123	0	0	0	0	0.001965054	0	0	0	0.001948052	0	0	0.002272804	0.004207718	0	0	0	0.00147763	0	0	0.002806085	0	0	0.001190643	0.002143697	0.002916496	0	0	0	0	0	0	0	0.003046652	0	0	0	0	0
60f53e84b4ab35530ef79eccb7048bf8	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Synechococcales; D_4__Cyanobiaceae	0	0	0	0	0	0.000870532	0	0	0	0	0	0	0	0.004118515	0	0	0	0	0	0.002419559	0	0	0	0	0	0	0	0	0	0	0	0.000212438	0	0.000818451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
